phrase1,phrase2,sentence1,sentence2,label,idx
religious service,church ceremony,"Their subsistence is reciprocated by providing society with various forms of religious service, moral education, and preservation of culture.","Their subsistence is reciprocated by providing society with various forms of church ceremony, moral education, and preservation of culture.",0,1228
modelling work,design maintenance,"Following some modelling work, she was cast in a number of New Zealand television advertisements.","Following some design maintenance, she was cast in a number of New Zealand television advertisements.",0,999
force requirements,strength demands,In accordance with Henneman's size principle muscle fibers are recruited from a low to a high threshold as force requirements increase.,In accordance with Henneman's size principle muscle fibers are recruited from a low to a high threshold as strength demands increase.,1,174
first practice,start exercise,"The first practice took place on the morning of Wednesday, January 22nd, 2020.","The start exercise took place on the morning of Wednesday, January 22nd, 2020.",1,781
high energy,an excess of kilowatt hours,"Usually playing with his full band, Bianco's sets have a reputation for being sold-out, high energy and sexually charged events.","Usually playing with his full band, Bianco's sets have a reputation for being sold-out, an excess of kilowatt hours and sexually charged events.",0,589
increasing wave,growing surge,"Step height increases with increasing wave (breaker) height (Hb), wave period (T) and sediment size.","Step height increases with growing surge (breaker) height (Hb), wave period (T) and sediment size.",0,1559
third incarnation,third embodiment,"In June 2004, ""The Hill"" reported that a third incarnation of CPD was being planned, to address the War on Terrorism.","In June 2004, ""The Hill"" reported that a third embodiment of CPD was being planned, to address the War on Terrorism.",0,18
major version,comparable models,"The first version of Bach's Magnificat dates from 1723, but the work is best known in its D major version of 1733.","The first version of Bach's Magnificat dates from 1723, but the work is best known in its D comparable models of 1733.",0,423
last two editions,ultimate pair of books,"The book also continues the work of the last two editions by listing the times Homer cries ""D'oh!""","The book also continues the work of the ultimate pair of books by listing the times Homer cries ""D'oh!""",1,1343
secondary chain,Connected franchise,"It presents an extraordinary affinity to IL-13, but does not form complexes with any secondary chain.","It presents an extraordinary affinity to IL-13, but does not form complexes with any Connected franchise.",0,285
prominent sign,striking indication,"Cherokee language instruction is a feature of New Kituwah, and inside the school is a prominent sign that states ""English stops here.""","Cherokee language instruction is a feature of New Kituwah, and inside the school is a striking indication that states ""English stops here.""",0,1583
reservation period,time spent on the reserve,This set is the minimal set of nodes that exactly cover the reservation period of time.,This set is the minimal set of nodes that exactly cover the time spent on the reserve of time.,0,428
